VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2017,2017,70.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2018,2018,71.7,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2005,2005,32,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2006,2006,32.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2007,2007,25.5,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2008,2008,25.5,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2009,2009,25.5,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2010,2010,24,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2011,2011,22.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2012,2012,19.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2013,2013,21.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2014,2014,20,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2015,2015,22,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2016,2016,21.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ITA,Italy,2017,2017,17.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NZL,New Zealand,2007,2007,89.7,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NZL,New Zealand,2012,2012,89.3,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NZL,New Zealand,2013,2013,89.5,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NZL,New Zealand,2014,2014,91.4,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NZL,New Zealand,2015,2015,88.9,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NZL,New Zealand,2016,2016,87.8,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NZL,New Zealand,2017,2017,88.2,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2005,2005,73.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2006,2006,74.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2007,2007,74,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2008,2008,73.9,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2009,2009,73.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2010,2010,73,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2011,2011,73.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2012,2012,74.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2013,2013,74.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2014,2014,75,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2015,2015,74.6,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2016,2016,73.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),BEL,Belgium,2017,2017,74.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2005,2005,16.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2006,2006,17.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2007,2007,16.8,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2008,2008,18.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2009,2009,20.3,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2010,2010,21.1,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2011,2011,20.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2012,2012,21.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2013,2013,20.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2014,2014,20.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2015,2015,20.8,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2016,2016,21.1,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2017,2017,21,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),DNK,Denmark,2018,2018,21.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2005,2005,88.4,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2006,2006,88.2,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2007,2007,87.9,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2008,2008,87.8,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2009,2009,87.9,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2010,2010,87.6,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2011,2011,87.3,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2012,2012,87.5,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2013,2013,87.5,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2014,2014,88.1,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2015,2015,88.1,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2016,2016,88,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),USA,United States,2017,2017,87.9,D,Difference in methodology
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2006,2006,63.4,B,Break
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2007,2007,66.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2008,2008,67.9,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2009,2009,65.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2010,2010,66,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2011,2011,67.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2012,2012,68.6,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2013,2013,67.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2014,2014,68.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2015,2015,66.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2016,2016,69.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2017,2017,68.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2005,2005,82.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2006,2006,83.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2007,2007,84,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2008,2008,84.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2009,2009,83.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2010,2010,82.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2011,2011,83.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2012,2012,82.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2013,2013,82,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2014,2014,82.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2015,2015,82.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2016,2016,82.9,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),IRL,Ireland,2017,2017,83.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2005,2005,21.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2006,2006,21.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2007,2007,20,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2008,2008,22.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2009,2009,22.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2010,2010,23.8,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2011,2011,23.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2012,2012,23.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2013,2013,24.3,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2014,2014,23.5,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2015,2015,24.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2016,2016,25.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2017,2017,24.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2005,2005,45.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2006,2006,48,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2007,2007,46.6,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2008,2008,55.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2009,2009,55.9,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2010,2010,55,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2011,2011,55.6,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2012,2012,57,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2013,2013,56.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2014,2014,56.9,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2015,2015,56.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2016,2016,59.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2017,2017,59.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2018,2018,60.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2005,2005,30.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2006,2006,27.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2007,2007,27.7,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2008,2008,27,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2009,2009,27,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2010,2010,27.1,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2011,2011,26.3,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2012,2012,24.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2013,2013,24.5,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2014,2014,24.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2015,2015,23.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2016,2016,25.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),SVN,Slovenia,2017,2017,25,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2005,2005,53.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2006,2006,53.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2007,2007,53.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2008,2008,54.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2009,2009,51.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2010,2010,52.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2011,2011,51.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2012,2012,52.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2013,2013,53.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2014,2014,51.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2015,2015,51.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2016,2016,52.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),EST,Estonia,2017,2017,52.5,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2005,2005,33.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2006,2006,31.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2007,2007,35.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2008,2008,32.1,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2009,2009,32.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2010,2010,30.5,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2011,2011,32.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2012,2012,33.8,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2013,2013,35.3,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2014,2014,35.7,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2015,2015,35.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2016,2016,36.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),PRT,Portugal,2017,2017,35.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2005,2005,20.7,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2006,2006,20,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2007,2007,20.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2008,2008,19.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2009,2009,20.8,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2010,2010,20.1,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2011,2011,17.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2012,2012,17.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2013,2013,19.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2014,2014,19.1,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2015,2015,20.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2016,2016,20.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),ESP,Spain,2017,2017,19.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2005,2005,32.7,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2006,2006,31.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2007,2007,31.3,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2008,2008,25.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2009,2009,26.5,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2010,2010,28.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2011,2011,28,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2012,2012,26.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2013,2013,28,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2014,2014,27.3,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2015,2015,27.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2016,2016,27.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2017,2017,27.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2018,2018,27.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2005,2005,18,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2006,2006,16.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2007,2007,16.4,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2008,2008,15.6,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2009,2009,15.9,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2010,2010,14.8,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2011,2011,16.8,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2012,2012,17.1,,
